"RefNo","SupplierName","DatePosted","Details","PaymentMode","AmountDr","AmountCr","TransNo","AccountUsed","FormID","ItemName","Measures","Quantity","UnitCost","VehicleNo"
"YongXing Steel Company Ltd","YongXing Steel Company Ltd","2026-04-20 00:00:00","Supplier Balance Before Computerization As At 20 April 2026"," ========== ",0,145144030,"Previous Transactions","Previous Transactions","SN"," ========== "," ========== "," ========== ","0"," ========== "
"YongXing Steel Company Ltd Payment On 20 April 2026 By 2:50:47 PM","YongXing Steel Company Ltd","2026-04-20 00:00:00","Payments","Cheque",0,74415000,"nip","Access Bank Plc","CS"," ========== "," ========== "," ========== ","0"," ========== "
"YongXing Steel Company Ltd Payment On 20 April 2026 By 2:51:23 PM","YongXing Steel Company Ltd","2026-04-20 00:00:00","Payments","Cheque",0,120000000,"nip","Zenith Bank Plc","CS"," ========== "," ========== "," ========== ","0"," ========== "
"YongXing Steel Company Ltd Payment On 20 April 2026 By 2:52:10 PM","YongXing Steel Company Ltd","2026-04-20 00:00:00","Payments","Cheque",0,50000000,"nip","Zenith Bank Plc","CS"," ========== "," ========== "," ========== ","0"," ========== "
"YongXing Steel Company Ltd Payment On 20 April 2026 By 2:52:41 PM","YongXing Steel Company Ltd","2026-04-20 00:00:00","Payments","Cheque",0,111008000,"nip","Access Bank Plc","CS"," ========== "," ========== "," ========== ","0"," ========== "
"YongXing Steel Company Ltd Payment On 20 April 2026 By 2:53:16 PM","YongXing Steel Company Ltd","2026-04-20 00:00:00","Payments","Cheque",0,100000000,"nip","Zenith Bank Plc","CS"," ========== "," ========== "," ========== ","0"," ========== "
"YongXing Steel Company Ltd Payment On 20 April 2026 By 2:54:07 PM","YongXing Steel Company Ltd","2026-04-20 00:00:00","Payments","Cheque",0,49400000,"nip","Access Bank Plc","CS"," ========== "," ========== "," ========== ","0"," ========== "
"YongXing Steel Company Ltd Payment On 20 April 2026 By 2:54:37 PM","YongXing Steel Company Ltd","2026-04-20 00:00:00","Payments","Cheque",0,22410000,"nip","Zenith Bank Plc","CS"," ========== "," ========== "," ========== ","0"," ========== "
"Alloted To YongXing Steel Company Ltd On 20 April 2026","YongXing Steel Company Ltd","2026-04-20 00:00:00","Akl 756 Xd 120 Tons Of 12Mm Local @ 749000"," ========== ",89880000,0,"OST23426145758"," ========== ","OST"," ========== "," ========== "," ========== ","0"," ========== "
"2","YongXing Steel Company Ltd","2026-04-20 00:00:00","Bzr 143 Xc Extra 120 Tons Of 12Mm Local @ 749,000"," ========== ",14980000,0,"OST2342615232"," ========== ","OST"," ========== "," ========== "," ========== ","0"," ========== "
